Time (s),Compressor Speed (rpm),Condensor Air Mass Flow (kg/s),Evaporator Air Mass Flow (kg/s),Superheat (°C),Discharge Temperature (°C),Subcooling (°C),Condenser_Pressure (kPa),Evaporator_Pressure (kPa),Compressor_MassFlow (kg/s),EXV_MassFlow (kg/s),Compressor_Power (kW),Total Power (kW),Air Side Cooling Capacity (kW),Ref Side Cooling Capacity (kW)
2.55,3300,2.236,0.6909,0.238190012,51.1190324,2.748732876,2554.346027,1013.432846,0.05795376,0.056872135,2.553337297,2.834816697,11.23319836,9.185257428
2.6,3300,2.236,0.6909,0.30391378,51.12594559,2.646133014,2554.815748,1013.59089,0.057963133,0.056832869,2.553942061,2.835421461,11.18441769,9.168205886
2.65,3300,2.236,0.6909,0.372340514,51.13300613,2.549941006,2555.236632,1013.620171,0.05796487,0.056797562,2.55470545,2.83618485,11.13654375,9.123949682
2.7,3300,2.236,0.6909,0.437821059,51.14212056,2.459776672,2555.610349,1013.367525,0.057949886,0.05676855,2.555457848,2.836937248,11.08935725,9.128923688
2.75,3300,2.236,0.6909,0.503822346,51.14863692,2.375338636,2555.93927,1013.413251,0.057952598,0.056736318,2.555883953,2.837363353,11.04347568,9.14294495
2.8,3300,2.236,0.6909,0.58228591,51.15377805,2.296557911,2556.239554,1013.530609,0.057959558,0.05670488,2.55619874,2.83767814,10.9987073,9.151787458
2.85,3300,2.236,0.6909,0.669888543,51.15796981,2.223433393,2556.515362,1013.693638,0.057969227,0.056674738,2.556432098,2.837911498,10.95501718,9.15631685
2.9,3300,2.236,0.6909,0.763672972,51.16152125,2.155815054,2556.776305,1013.871522,0.057979778,0.056646563,2.556630352,2.838109752,10.91235502,9.158015316
2.95,3300,2.236,0.6909,0.86151342,51.16445047,2.092812737,2557.003636,1014.034067,0.057989419,0.056620019,2.556794996,2.838274396,10.87067088,9.157295492
3,3300,2.236,0.6909,0.961640251,51.16733287,2.03455057,2557.220405,1014.154443,0.057996558,0.056596085,2.556965849,2.838445249,10.82991514,9.153942783
3.05,3300,2.236,0.6909,1.062696724,51.17225479,1.980765748,2557.424415,1013.830957,0.057977372,0.056581111,2.557429804,2.838909204,10.78956041,9.1218947
3.1,3300,2.236,0.6909,1.158394543,51.17577619,1.931213369,2557.613994,1013.884464,0.057980545,0.056561653,2.557641436,2.839120836,10.75057723,9.133517547
